,mass,count,isolated
231,279.232954706704,273,False
232,549.306917466473,273,False
233,537.30690512605,273,False
234,523.291249759003,273,False
235,449.218102058104,273,False
236,505.244310142415,273,False
237,505.393142985994,273,False
238,651.41136128453,272,False
239,621.437162543177,272,False
240,435.238827205522,272,False
241,465.304401895028,272,False
242,427.379260235616,271,False
243,355.318716067024,271,True
244,571.400361954416,271,False
245,393.1918240875,271,False
246,523.364009216293,271,False
247,297.243525094851,271,False
248,539.431690812501,271,False
249,495.259976162393,271,False
250,491.228683649518,270,False
251,493.389827965318,270,False
252,641.478635341247,270,True
253,461.218074604502,270,False
254,449.254470852071,270,False
255,445.368695022161,270,False
256,465.335162302396,269,False
257,649.395701598266,269,False
258,443.337773669492,269,False
259,449.327214114286,269,False
260,297.152940832418,269,False
261,525.343279480663,269,False
262,573.379646678261,269,False
263,589.374578172107,269,False
264,379.212600506135,268,False
265,547.291261,268,False
266,435.202429522581,268,False
267,483.405503005479,268,False
268,509.312015646068,268,False
269,523.254878390909,268,False
270,465.358531889518,267,False
271,383.207518807018,267,False
272,537.343280161932,267,False
273,469.317112178572,267,False
274,547.327611050747,267,False
275,327.290428559459,266,False
276,391.212564236422,266,False
277,497.348392153631,266,False
278,525.415996533333,266,False
279,293.175793281843,266,False
280,618.467889900875,266,True
281,357.191872215686,265,False
282,588.4666839146,265,False
283,255.232964964286,265,False
284,573.419427545977,265,False
285,633.437132541916,265,False
286,481.244337623881,264,False
287,369.297729830601,264,True
288,637.43212527809,264,False
289,453.213000864198,264,False
290,665.512617563636,264,True
291,593.478654337949,264,False
292,589.4108875,264,False
293,493.353373568389,263,False
294,485.363623866667,263,False
295,511.32763991922,263,False
296,601.410932534535,263,False
297,511.254859317784,263,False
298,419.207497483333,263,False
299,457.368694105978,263,False
300,537.270517248467,263,False
301,451.23374448,263,False
302,499.400404886628,262,False
303,474.280499045584,262,True
304,465.285775618076,262,False
305,339.181322908832,262,False
306,521.239221013114,262,False
307,523.400407289473,262,False
308,587.395304652568,262,False
309,355.321754941504,261,False
310,515.374186368272,261,False
311,561.343291325153,261,False
312,505.280631109756,261,False
313,541.483737663013,261,False
314,543.369087313609,261,False
315,381.191843151786,261,False
316,425.218080077151,261,False
317,527.358951034682,260,False
318,719.486830380952,260,True
319,607.457914285714,260,False
320,419.316675187845,260,False
321,503.161753303754,260,True
322,519.332654829341,260,False
323,407.207486676375,260,False
324,339.254088681034,260,False
325,495.296350537357,260,False
326,551.32253797929,260,False
327,613.447317906345,259,False
328,629.442193579438,259,False
329,619.385115207547,259,False
330,479.228645203822,259,False
331,597.45241986589,259,False
332,471.238837866883,259,False
333,447.202446149826,259,False
334,509.348332330409,259,False
335,469.244311290323,259,False
336,628.461558380192,258,False
337,343.285369925072,258,False
338,433.29592742647,258,False
339,603.42647336747,258,False
340,559.364016298781,258,False
341,325.20201750565,258,False
342,605.44221374269,258,False
343,365.160546851351,258,False
344,555.46298015562,258,False
345,525.270513922156,258,False
346,463.197371221453,258,False
347,447.311523203593,258,False
348,411.202411196319,258,False
349,409.186764105095,258,False
350,617.405816198142,258,False
351,529.317079599398,257,False
352,421.223160783871,257,False
353,443.353004002793,257,False
354,397.186794645062,257,False
355,503.377564119186,257,False
356,441.301006352941,257,False
357,551.468078828652,257,False
358,495.435920023189,257,True
359,707.48674722623,256,False
360,627.462982566265,256,False
361,385.332291767908,256,False
362,577.229210728814,256,True
363,513.343293448571,256,False
364,716.596460618181,256,True
