,Group,Transformation,Formula,mass_delta,extra,chain_len,chain_len_sd,chain_prob,chain_prob_sd
80,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,238.2296658,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 16, 'H': 32, 'O': 2}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 30, 'O': 1}), direction=1, mass_err=-2.2369999896909576e-07), TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 16, 'H': 31, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 16, 'H': 30, 'O': 1}), direction=1, mass_err=-2.2369999896909576e-07)]",2.065351145423443,0.05401477621544372,0.11863265748993712,0.06076514222502208
81,Sugar,Glucose-N-Phosphate_(-H2O),C6H11O8P,242.0191559,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 6, 'H': 13, 'O': 9, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 6, 'H': 11, 'O': 8, 'P': 1}), direction=1, mass_err=-1.5969999651588296e-06)]",2.0309844682424743,0.1062330526905009,0.003115390038264693,0.0019245982715357507
82,Abiotic,Biotinyl_(-H),C10H15N2O3S,243.0803393,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 2, 'O': 3, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 2, 'O': 3, 'S': 1}), direction=1, mass_err=-7.815999936156004e-07)]",2.009714285714286,0.059054769417161125,0.0004122324297101168,0.0005423868203865591
83,Amino Acid,Adenosine_(-H2O),C10H11N5O3,249.0861894,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 5, 'O': 4}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 11, 'N': 5, 'O': 3}), direction=1, mass_err=-1.6994999896269292e-07)]",2.0232011747430247,0.13664807470700452,0.0008056522234176737,0.0008882481917716938
84,Amino Acid,Guanosine_(-H2O),C10H11N5O4,265.081104,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 5, 'O': 5}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 11, 'N': 5, 'O': 4}), direction=1, mass_err=-1.5064995295688277e-07)]",2.005500550055005,0.07075407471095929,0.0007128549047687807,0.0009266910094231383
85,Other,Stearyl_Conjugation_(-H),C18H35O,266.26097,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 1}), targ=defaultdict(<class 'int'>, {'C': 18, 'H': 35, 'O': 1}), delta_f=defaultdict(<class 'int'>, {'C': 18, 'H': 34, 'O': 1}), direction=1, mass_err=-4.296099973544187e-06)]",2.0453913231929457,0.04572940165251926,0.09482522860608869,0.055908183981881146
86,Abiotic,GSH_Conjugation_(on_Chlorine)_(-Cl),C10H16N3O6S,271.10713,"[TransformInfo(src=defaultdict(<class 'int'>, {'Cl': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1, 'Cl': -1}), direction=1, mass_err=-1.2775499840245175e-06)]",2.0705128205128207,0.2404896243495059,0.00029723260583341943,0.0003986190271333336
87,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,287.07758,"[TransformInfo(src=defaultdict(<class 'int'>, {'F': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 16, 'N': 3, 'O': 6, 'S': 1, 'F': -1}), direction=1, mass_err=-1.7496499822300393e-06)]",2.0104010025062657,0.06298793876186722,0.0004729312386294758,0.0005675935821656819
88,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,289.0732426,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 17, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 3, 'O': 5, 'S': 1}), direction=1, mass_err=-8.38750054299453e-07)]",2.0366666666666666,0.17471613282508067,0.00026945306580358926,0.0003724273225224002
89,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,304.0460394,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 2, 'O': 8, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 13, 'N': 2, 'O': 7, 'P': 1}), direction=1, mass_err=-1.6439999512840586e-06)]",2.0073170731707317,0.07953929893339957,0.00040113636060063373,0.0006013395140512428
90,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,305.0412884,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 9, 'H': 14, 'N': 3, 'O': 8, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 9, 'H': 12, 'N': 3, 'O': 7, 'P': 1}), direction=1, mass_err=-1.6716500113034272e-06)]",2.033707865168539,0.18149869785703643,0.0001269655716713203,0.00022173513931197193
91,Abiotic,GSH_Conjugation_1,C10H15N3O6S,305.06816,"[TransformInfo(src=None, targ=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 3, 'O': 6, 'S': 1}), delta_f=defaultdict(<class 'int'>, {'C': 10, 'H': 15, 'N': 3, 'O': 6, 'S': 1}), direction=1, mass_err=-3.6194499557495874e-06)]",2.0,0.0,0.00016178618515286144,0.00031458347365924877
92,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,306.0253039,"[TransformInfo(src=defaultdict(<class 'int'>, {'H': 2, 'O': 1}), targ=defaultdict(<class 'int'>, {'C': 9, 'H': 13, 'N': 2, 'O': 9, 'P': 1}), delta_f=defaultdict(<class 'int'>, {'C': 9, 'H': 11, 'N': 2, 'O': 8, 'P': 1}), direction=1, mass_err=-1.588499969784607e-06)]",2.0408333333333335,0.16687486995417322,0.00019672273429640334,0.0003889098574370438
